KOD;NAIM;NAIM_FULL;ADDRESS;COMMENT;
0242;ТОРМ в Стерлитамакском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 3 по Республике Башкортостан в Стерлитамакском районе;,453100,Башкортостан Респ,,Стерлитамак г,,Октября пр-кт,34,,;"Код ОКПО:12752248 Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0243;ТОРМ в Татышлинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 29 по Республике Башкортостан в Татышлинском районе;,452830,Башкортостан Респ,Татышлинский р-н,,Татышлы Верхние с,Ленина ул,59,,;"Код ОКПО 12752202. Режим приема: понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45 с перерывом на обед с 13.00 до 13.45; четвертая суббота с 10.00 до 15.00, остальные субботы и воскресенья выходные"
0245;ТОРМ в Уфимском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 30 по Республике Башкортостан в Уфимском районе;,450095,,,Уфа г,,Левитана ул,14,,;"Код ОКПО:31227246 Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0247;ТОРМ в Федоровском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 25 по Республике Башкортостан в Федоровском районе;,453280,Башкортостан Респ,Федоровский р-н,,Федоровка с,Ленина ул,44,,;"Код ОКПО:12752171. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0248;ТОРМ в Хайбуллинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 37 по Республике Башкортостан в Хайбуллинском районе;453800, РОССИЯ, Башкортостан Респ, , , с Акъяр, пр-кт Салавата Юлаева, 20^1, ,;"Код ОКПО:12752231. Режим приема: понедельник-четверг: 9.00 - 18.00; Пятница: 9.00 - 16.45; Перерыв на обед: 13.00-13.45 Выходные дни: суббота и воскресенье."
0249;ТОРМ в Чекмагушевском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 1 по Республике Башкортостан в Чекмагушевском районе;,452200,Башкортостан Респ,Чекмагушевский р-н,,Чекмагуш с,Мира ул,25,,;"Код ОКПО: 12752165. Режим приема: понедельник - четверг: 9.00-18.00; пятница: 9.00-16.45;вторая суббота месяца: 10.00-15.00; остальные субботы, воскресенья-выходные дни."
0250;ТОРМ в Чишминском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 30 по Республике Башкортостан в Чишминском районе;,452170,Башкортостан Респ,Чишминский р-н,,Чишмы пгт,Чернышевского ул,1,,;"Код ОКПО:31227246 Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0251;ТОРМ в Шаранском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 27 по Республике Башкортостан в Шаранском районе;,452630,Башкортостан Респ,Шаранский р-н,,Шаран с,Свердлова ул,1,,;"Код ОКПО:12752260. Режим приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0252;Межрайонная ИФНС России по крупнейшим налогоплательщикам по Республике Башкортостан;Межрайонная инспекция Федеральной налоговой службы по крупнейшим налогоплательщикам по Республике Башкортостан;,450078,Башкортостан Респ,,Уфа г,,Кирова ул,109,,;"Код ОКПО:31229452. Режим приема: понедельник-четверг: 8.30 - 17.30; пятница: 8.30 - 16.15; суббота, воскресенье: выходные дни."
0253;ТОРМ в г.Агидель;Территориально обособленное рабочее место Межрайонной ИФНС России № 29 по Республике Башкортостан в г. Агидель;,452920,Башкортостан Респ,,Агидель г,,Мира,20,,;"Код ОКПО 12752202. Режим приема: понедельник - четверг с 09.00 до 18.00,пятница с 09.00 до 16.45 с перерывом на обед с 13.00 до 13.45; четвертая суббота с 10.00 до 15.00, остальные субботы и воскресенья выходные"
0254;ТОРМ в г.Баймак и Баймакском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 37 по Республике Башкортостан в г. Баймак и в Баймакском районе;,453630,Башкортостан Респ,,Баймак г,,Салавата Юлаева пр-кт,9,,;"Код ОКПО:12752231. Режим приема: понедельник-четверг: 9.00 - 18.00; Пятница: 9.00 - 16.45; Перерыв на обед: 13.00-13.45 Выходные дни: суббота и воскресенье."
